circRNAs	Normal1_count	Normal2_count	Normal3_count	Tumor1_count	Tumor2_count	Tumor3_count
novel_circ_051334	7.302139889	1.092616134	1.255919515	0	0	0
novel_circ_051339	0	3.277848402	0	7.825247669	0	37.41902818
novel_circ_051341	2.738302458	7.102004872	15.07103418	0	0	0
novel_circ_051343	26.4702571	10.37985327	3.139798788	2.60841589	0	0
novel_circ_051344	4.56383743	2.185232268	10.67531588	16.95470328	0	0
novel_circ_051345	15.51704726	10.92616134	17.58287321	32.60519862	0	0
novel_circ_051359	80.32353878	36.60264049	0	23.47574301	0	0
novel_circ_051361	196.2450095	88.50190687	129.3597101	142.158666	0	100.9443551
novel_circ_051362	19.16811721	5.463080671	20.09471224	0	0	0
novel_circ_051365	33.77239699	19.66709041	48.35290134	0	0	0
novel_circ_051366	16.42981475	4.370464537	14.12909455	0	0	0
novel_circ_051367	3.651069944	2.731540335	16.3269537	0	0	0
novel_circ_051370	13.69151229	20.75970655	19.15277261	0	0	0
novel_circ_051371	12.77874481	18.57447428	8.791436606	0	0	0
novel_circ_051373	3.651069944	26.22278722	10.04735612	0	0	0
novel_circ_051374	57.50435162	95.60391174	75.66915079	5.216831779	38.68279985	0
novel_circ_051375	92.18951609	93.96498754	0	18.25891123	0	0
novel_circ_051377	12.77874481	3.277848402	9.105416485	0	0	0
novel_circ_051386	2.738302458	1.638924201	11.30327564	0	0	0
novel_circ_051395	1.825534972	5.463080671	0	3.912623834	0	0
novel_circ_051396	39.2490019	6.009388738	0	15.65049534	0	0
novel_circ_051398	2.738302458	2.731540335	2.825818909	0	0	0
novel_circ_051404	28.29579207	14.20400974	16.01297382	97.81559586	61.89247975	71.35721652
novel_circ_051406	51.11497922	50.26034217	49.60882085	0	0	0
novel_circ_051407	0.912767486	12.01877748	23.54849091	0	0	0
novel_circ_051416	4.56383743	2.185232268	10.67531588	0	0	0
novel_circ_051417	0	3.277848402	4.709698182	15.65049534	11.60483995	0
novel_circ_051423	5.476604917	10.92616134	0.313979879	6.521039724	0	0
novel_circ_051427	12.77874481	6.009388738	0	9.129455613	0	0
novel_circ_051434	27.38302458	11.47246941	10.67531588	20.86732712	0	0
novel_circ_051439	223.6280341	75.39051326	16.3269537	56.08094162	0	0
novel_circ_051444	90.36398112	142.0400974	72.84333188	0	0	0
novel_circ_051445	89.45121364	64.46435192	4.395718303	24.77995095	0	0
novel_circ_051449	587.822261	453.4356957	196.865384	273.8836684	116.0483995	0
novel_circ_051451	92.18951609	68.83481645	0	58.68935751	0	0
novel_circ_051452	28.29579207	18.57447428	0	3.912623834	0	0
novel_circ_051453	28.29579207	20.75970655	10.361336	6.521039724	0	0
novel_circ_051455	6.389372403	24.58386302	2.51183903	7.825247669	0	0
novel_circ_051456	282.9579207	148.5957942	67.50567394	84.77351641	19.34139992	0
